RAP_ID,Gene_Symbol,S1,S2,S2_keyword,S3,S3_keywords,S4,S4_note,S5,S5_keyinfo,Conservative,Exploratory
OS01G0104100,"OsNCA1a, OsCOIN",S1b,S2a,ROS homeostasis; catalase activation; stress-responsive zinc finger/NCA1 chaperone,S3b,ROS detoxification / antioxidant system,S4a,Arabidopsis NCA1 ortholog regulates catalase activity and nca1 mutants show hypersensitivity to salinity via impaired H2O2 scavenging,S5a,nca1a/nca1b double mutants show very low catalase activity and increased sensitivity under salinity; OsCOIN overexpression increases tolerance to salt with higher proline and antioxidant capacity,Yes,Yes
OS01G0124401,"RBBI3-3, OsBBPI, OsBBTI5",S1b,S2a,Bowman–Birk serine protease inhibitor; modulation of ROS-scavenging enzymes (APX2) and stress signalling,S3b,Protease inhibitor / ROS signalling (non-canonical),S4b,No high-confidence ortholog with genetically proven salt-tolerance function identified; BBI-type inhibitors in other crops are mostly studied at expression level,S5a,"OsBBTI5 RNAi plants have higher survival and biomass under NaCl with lower H2O2/MDA and altered antioxidant gene expression, indicating OsBBTI5 negatively regulates rice salt tolerance",Yes,No
OS01G0141000,"AP2/EREBP129, AP2/EREBP#129, OsRAV2, RAV2, OsRAV9, OsTEM1, OsRAV9/OsTEM1",S1b,S2b,AP2/B3 (RAV) transcription factor; salt-inducible promoter but no rice functional data,S3b,Potential transcriptional regulator; no defined salt pathway placement in rice,S4a,Arabidopsis RAV1/RAV2 orthologs modulate drought and salt responses; rav1/rav2 mutants and overexpression lines show altered salt tolerance independently of ABA,S5b,"OsRAV2 promoter GT-1 element is required for salt-induced expression, but no OsRAV2 mutant or overexpression lines with salt-tolerance phenotypes have been reported in rice",No,No
OS01G0141100,"OsSKD1, SKD1",S1b,S2b,AAA-type ATPase SKD1/VPS4; ESCRT-mediated endosomal protein sorting; salt-induced expression,S3b,"Endosomal sorting / vesicle trafficking, potentially influencing ion transporter turnover",S4a,"Maize ZmSKD1 ortholog overexpression in tobacco enhances salt and drought tolerance and lowers ROS, and reduced SKD1 expression in Arabidopsis decreases salt tolerance, supporting conserved SKD1–ESCRT roles in salt stress",S5b,"OsSKD1 is characterized as an AAA-type ATPase in vesicle trafficking and is salt responsive, yet rice OsSKD1 gain- or loss-of-function effects on salt tolerance have not been demonstrated",No,No
OS01G0159800,OsbHLH035,S1b,S2a,"bHLH transcription factor; regulates ABA metabolic genes and OsHKT1 genes, affecting seed germination and ion homeostasis under salt",S3a,ABA signalling and downstream ion transport (HKT1;1/1;3/1;5) in salt-stress recovery,S4b,"bHLH TFs in other species (e.g. Arabidopsis bHLH122, OrbHLH001 from wild rice) affect salt/drought tolerance, but no clear one-to-one ortholog of OsbHLH035 with proven salt-tolerance function",S5a,"OsbHLH035 mutants are hypersensitive during germination and recovery from salt, while complemented lines restore tolerance; OsbHLH035 controls ABA metabolic genes and OsHKT1 family expression",Yes,No
OS01G0182200,OsSIP1,S1b,S2b,SIP1-type aquaporin; ER-localized water/H2O2 channel induced by salt/osmotic stress but without in planta rice functional validation,S3b,Water and H2O2 transport; putative role in ER redox/osmotic adjustment,S4b,"SIP aquaporins in Arabidopsis and other crops show stress-responsive expression, but robust genetic evidence linking specific SIP1 orthologs to salt-tolerance phenotypes is lacking",S5b,"OsSIP1 shows ER localization, transports water/H2O2 and is induced by salt/osmotic stress, but no OsSIP1 rice mutants or overexpressors with altered salt tolerance are available",No,No
OS01G0184100,"OsHsp18.0, Oshsp18.0-CII",S1b,S2a,Class II small heat shock protein; molecular chaperone maintaining protein homeostasis and modulating defense/SA signalling under abiotic stress,S3b,General stress protein homeostasis / heat shock response,S4a,"Class II sHSP orthologs in other species confer tolerance to salt and other stresses when overexpressed, indicating a conserved chaperone-based mechanism",S5a,"OsHsp18.0-CII overexpression enhances, and RNAi reduces, rice tolerance to NaCl and heat; the protein accumulates under stress and limits protein aggregation and cell death",Yes,Yes
OS01G0307500,"SKC1, OsHKT1",S1a,S2a,"Na+ transporter HKT1;5, mediating Na+ unloading from xylem to maintain high K+/Na+ in leaves and reproductive tissues",S3a,Ion homeostasis / Na+ exclusion pathway (qSKC1/SKC1; Saltol-linked Na+ transport),S4a,"HKT1;5 orthologs in wheat and barley (e.g. Nax2, TmHKT1;5-A, HvHKT1;5) control leaf Na+ accumulation and salinity tolerance, demonstrating conserved function of HKT1;5 transporters in cereal salt tolerance",S5a,Allelic variation and transgenic analyses of SKC1/OsHKT1;5 demonstrate that enhanced Na+ retrieval from xylem lowers shoot Na+ and improves growth and yield under saline conditions,Yes,Yes
OS01G0369000,OsCUL1-1,S1b,S2b,"Cullin 1 scaffold of SCF E3 ubiquitin ligases; broadly involved in protein ubiquitination, with salt/ABA-responsive expression but no direct functional link to salt tolerance",S3b,Ubiquitin–proteasome system / hormone signalling (indirect),S4b,"CUL1 orthologs in Arabidopsis and crops are essential for development and hormone signalling, but specific evidence that CUL1 orthologs modulate salt tolerance phenotypes is limited or indirect",S5b,"OsCUL1 transcripts respond to ABA and salt and interact with BTB-MATH proteins linked to salt tolerance, but direct OsCUL1-1 genetic evidence for altered salt tolerance is lacking",No,No
OS01G0506100,OsSOAR1,S1b,S2a,PPR-domain RNA-binding protein; regulates ABA signalling and stress-related mRNA processing/alternative splicing,S3a,ABA signalling and stress-responsive RNA processing pathway,S4a,"Arabidopsis SOAR1 ortholog regulates ABA sensitivity and salt tolerance; overexpression and loss-of-function lines show altered ABA responses and salinity tolerance, and AtSOAR1 transgenes function in rice",S5a,Overexpression of OsSOAR1 or AtSOAR1 in rice increases tolerance to salt and ABA; SOAR1 modulates ABA-responsive gene expression and pre-mRNA splicing in stress pathways,Yes,Yes
OS01G0536000,OsCIPK8,S1b,S2b,CBL–CIPK; SOS-interaction (Arabidopsis CIPK8),S3b,SOS pathway (Arabidopsis CBL10–CIPK8–SOS1),S4a,Arabidopsis CIPK8 with CBL10–SOS1 complex modulates salt tolerance; conserved CBL–CIPK–SOS core,S5b,No rice-genetic causal test for OsCIPK8 found; expression upregulated under salt,No,No
OS01G0549700,OsBAT1/UAP56,S1b,S2b,RNA helicase; mRNA export/splicing; ABA/salt inducible,S3b,RNA processing—not a core salt pathway,S4b,No high-confidence ortholog with causal salt phenotype,S5b,Reports of overexpression tolerance exist mainly as grey literature; peer-reviewed in planta causal data in rice unclear,No,No
OS01G0571300,OsHsfA7,S1b,S2b,HSF–HSP; ROS/chaperone; stress transcription,S3b,Heat-shock/ABA-responsive networks (not core salt transport),S4b,"HSF roles conserved, but no ortholog single-ortholog causal salt evidence used",S5a,Overexpression in rice increases salt and drought tolerance; improved survival and reduced MDA/ion leakage,Yes,Yes
OS01G0575200,OsbHLH024,S1b,S2b,bHLH TF; negative regulator of salt (KO improves tolerance),S3b,TF-mediated ROS/ion homeostasis regulation,S4b,No cross-species ortholog causal evidence required,S5a,"CRISPR/Cas9 knockout improves salt resistance; increased chlorophyll, antioxidant activity, reduced ROS",Yes,Yes
OS01G0612600,OsSIDP361,S1b,S2a,DUF1644 stress-induced protein; enhances salt tolerance when overexpressed,S3b,ABA/ROS-related downstream effects (not annotated core pathway),S4a,Family members (OsSIDP301 RNAi improves salt tolerance) and DUF1644 conserved function; cross-refs support conserved mechanism,S5a,Rice overexpression lines show enhanced salt tolerance; upregulation of stress genes; DOI available,Yes,Yes
OS01G0615100,OCPI2 (OsCPI2/OsSRO1a),S1b,S2b,Serine protease inhibitor; OsMAR1–OCPI2 axis under salt,S3b,UPS/Protease-inhibitor regulation; not core ion pathway,S4b,Heterologous Arabidopsis OX shows salt tolerance but not ortholog-based evidence,S5b,No rice-gene causal salt phenotype publication; evidence mainly heterologous and regulatory,No,No
OS01G0622600,OsCDPK1,S1b,S2b,Ca2+-dependent protein kinase; Ca2+/ABA signaling,S3b,ABA/Ca2+ signaling networks (others like CPK4/7/12 validated),S4a,CDPK orthologs/paralogs (OsCPK4/7/12/5/13) causally improve salt tolerance; conserved CDPK salt module,S5b,No direct OsCDPK1 causal salt paper found in rice,No,No
OS01G0624500,OsSGT1,S1b,S2b,SCF/RAR1/SGT1 chaperone complex; stress integration,S3b,Defense/ABA crosstalk; interacts with OsSAPK9,S4a,Wheat TaSGT1 enhances salt tolerance; conserved SGT1 function in stress,S5a,"Rice studies show interaction (e.g., with SAPK9) but lack direct OsSGT1 manipulation with salt phenotype",Yes,No
OS01G0648000,OsAKT1,S1b,S2b,K+ uptake channel; ion homeostasis,S3b,K+ transport; salt-affected expression but not core determinant,S4b,Direct ortholog evidence for salt causality limited; OsHAK1 instead validated,S5b,Overexpression impacts K nutrition and drought; salt effect debated/not significant in rice OX lines,No,No
OS01G0658900,OSBZ8/OsbZIP05/OsGBF1,S1b,S2b,ABRE-binding bZIP; ABA-responsive; salt-inducible expression,S3b,ABA signaling (general),S4b,"Many bZIPs (OsbZIP23/71) show salt tolerance, but not OSBZ8 orthologs",S5b,Expression correlates with salt-tolerant cultivars; no direct genetic causality for OSBZ8,No,No
OS01G0692700,OsSIRH2-23 (OsRFPH2-23),S1b,S2a,RING-H2 E3 连接酶; 26S 蛋白酶体; 盐诱导,S3a,泛素-26S 蛋白酶体调控(UPS),S4a,同家族 OsSIRH2-14 在稻本体增强耐盐；E3-离子通道调控保守,S5a,OsSIRH2-23 为盐诱导 RING E3；功能研究显示提高盐胁迫不敏感性（稻本体）；UPS机制,Yes,No
OS01G0693400,OsRAV11/OsRAV1 (AP2/ERF-RAV),S1b,S2a,RAV 转录因子; 激素通路; 发芽期耐盐,S3b,激素/表型级通路（非盐核心离子模块）,S4b,RAV 家族广泛，但缺乏跨物种一一正交的因果迁移,S5a,Rice 2024：OsRAV1/11 影响种子活力与发芽期耐盐；单倍型关联与遗传证据,Yes,No
OS01G0699100,OsMAPKKK63,S1b,S2b,MAPKKK–MKK (MKK1/MKK6) 上游激酶; 盐诱导,S3a,MAPK 级联与盐应答,S4a,MAPK 途径在多物种保守；稻/综述显示该基因与盐应答相关,S5a,未检得对 OsMAPKKK63 的稻本体 KO/OE 直接改变耐盐的论文（报道多为表达/互作）,Yes,Yes
OS01G0720700,OsSAT1 (Serine acetyltransferase 1),S1b,S2b,半胱氨酸生物合成; 硫代谢; 表达受盐诱导,S3b,代谢适应（非核心离子/信号节点）,S4b,跨物种 SAT 家族多与逆境相关，但缺少高置信正交+因果验证,S5b,稻中多为生物信息学/表达分析；缺少直接因果耐盐实验,No,No
OS01G0733200,OsHsfC1b,S1b,S2a,HSF 转录因子; ABA 依赖耐盐; 胞核定位,S3a,ABA 介导的胁迫应答模块,S4a,HSF 模块在作物保守；他物种与稻内均支持,S5a,过表达提高耐盐/渗透胁迫耐受；遗传与生理指标完善,Yes,Yes
OS01G0734600,OsUGT706E1 (OsUGT1),S1b,S2a,UDP-糖基转移酶; 阿苯苷(arbutin)代谢; GRF7 模块,S3b,次生代谢/抗逆代谢通路,S4b,UGT 家族广泛；本基因稻内直接证据为主,S5a,Plant Cell 2024：OsGRF7–UGT706E1 调控阿苯苷代谢，过表达提高耐盐；RAP-DB/Oryzabase 注释为正调控,No,No
OS01G0752500,OsERF922 (ERF92),S1b,S2a,AP2/ERF 负调控; ABA 诱导; 盐敏感负调节因子,S3a,ABA/乙烯信号—上游转录调控,S4a,ERF 模块在作物保守；多物种有因果证据,S5a,JXB 2012：过表达降低而 RNAi/突变提高耐盐；CRISPR报道用于稻瘟病亦旁证该位点可编辑,Yes,Yes
OS01G0804400,OsCYP94D7,S1b,S2b,CYP94 家族; JA-Ile 氧化代谢; 盐应答相关,S3a,茉莉酸信号衔接耐盐（家族水平证据）,S4b,家族成员 CYP94C2b 过表达提升耐盐，但非本基因正交同源,S5b,未见对 CYP94D7 稻本体 KO/OE 改变盐耐；仅家族/通路证据,No,No
OS01G0811300,OsSUVH7 / SDG709,S1b,S2b,SET 结构域甲基转移酶; H3K9 甲基化; 表观调控,S3b,表观遗传调控（广义）,S4b,尚缺该位点的跨物种正交因果耐盐证据,S5a,未检得 SDG709 在稻本体因果改变耐盐的研究；多为综述与表观变化观察,Yes,Yes
OS01G0839100,ZFP179 (C2H2 zinc finger),S1b,S2a,C2H2 锌指; 渗透/ROS 调控; 上游转录调节,S3a,ROS 清除与渗透调节,S4a,C2H2 锌指在作物中普遍调控耐盐；稻内已有因果证据,S5a,JXB 2010：过表达增强稻耐盐，伴随脯氨酸/可溶糖上调与抗氧化能力增强,Yes,Yes
OS01G0842200,OsGRAS2,S1b,S2b,GRAS转录因子；盐应答调控但非核心离子/渗透模块,S3b,调控网络（非核心必需通路节点）,S4b,尚无跨物种一一正交并具因果耐盐证据,S5a,Plant Physiol (or Plant Sci) 2024/2025：OsGRAS2遗传操作改变稻耐盐与产量（激活标签系/转基因）；PMID:39738626,Yes,Yes
OS01G0848200,OsP5CS2,S1b,S2a,脯氨酸生物合成限速酶；渗透保护；应激诱导,S3a,Proline biosynthesis (KEGG arginine/proline)；渗透调节核心节点,S4a,P5CS途径在作物中保守；多物种P5CS影响耐盐/渗透胁迫,S5a,Plant Sci 2004: OsP5CS2为盐/冷耐受所必需；稻本体突变/转基因证据；DOI:10.1016/j.plantsci.2004.04.009,Yes,Yes
OS01G0864500,OsSDS1,S1b,S2b,未知功能/诱导；非核心模块直接证据不足,S3b,无已标注耐盐核心通路证据,S4b,仅异源系统（拟南芥）过表达负调控报道，非正交同源,S5b,未检得稻本体KO/OE直接改变耐盐；Arabidopsis转基因仅作旁证,No,No
OS01G0868000,OsERF099/OsEREBP2,S1b,S2b,AP2/ERF转录因子；盐/ABA诱导表达,S3b,乙烯/ABA上游网络（非核心离子外排/转运）,S4b,无一一正交同源因果证据,S5b,未见OsERF099在稻本体因果耐盐论文；多为表达与互作（如调控OsRMC）,No,No
OS01G0887700,OsAL1/OsPHD1（Alfin-like）,S1b,S2b,PHD/Alfin样转录因子；胁迫相关但缺核心证据,S3b,表观/转录调控,S4b,稻内家族研究与干旱性状为主；缺盐因果与正交同源证据,S5b,未检得OsAL1稻本体直接改变盐耐的KO/OE文献,No,No
OS01G0893400,OsBTBZ1,S1b,S2b,BTB-TAZ 蛋白；ABA相关,S3b,ABA调控网络（非核心通路节点）,S4b,仅见在拟南芥表达OsBTBZ1增强耐盐（异源系统），非正交同源,S5b,稻本体因果证据未检得,No,No
OS01G0897000,OsCDKB1;1,S1b,S2b,细胞周期激酶；与ROS/盐胁迫相关调控,S3b,细胞周期/ROS调控（非核心离子或SOS/HKT模块）,S4b,缺跨物种一一正交因果证据,S5a,2022研究表明干扰OsCDKB1;1表达显著提高稻耐盐（OsFLP–OsCDKB1;1模块）；原文提供遗传证据,Yes,Yes
OS01G0912700,DUF2358蛋白（未命名）,S1b,S2b,未知功能；盐诱导/预测,S3b,无已确认的耐盐通路证据,S4b,仅异源系统功能回补（拟南芥）提示；非正交同源,S5b,稻本体KO/OE尚未见直接耐盐因果论文,No,No
OS01G0930400,OsHAK5,S1b,S2a,高亲和力K+转运体；提高K/Na比,S3a,离子稳态/钾转运通路（耐盐核心模块）,S4a,HAK家族在作物中保守；多物种与稻内均有耐盐因果证据,S5a,Plant Physiol 2014：OsHAK5 KO/OE改变K/Na并提升盐耐；多篇后续补强,Yes,Yes
OS01G0952200,OsCHR708 / OsFbox58,S1b,S2b,染色质重塑/或F-box；盐应答证据不足,S3b,表观/蛋白降解调控（非核心）,S4b,缺少正交同源因果证据,S5b,未见稻本体直接因果耐盐研究,No,No
OS01G0955100,OsMSR2 / CML31,S1b,S2a,Ca2+ sensor (CML); ABA signaling; stress-inducible,S3a,Calcium/ABA signaling; stress-responsive signaling,S4a,CMLs/CaM-like proteins in crops often enhance salt tolerance; conserved Ca2+-sensor module,S5a,Transgenic rice OE improves salt tolerance; ABA hypersensitivity; survival rate ↑,Yes,Yes
OS01G0959200,OsASR1 (ASR family),S1b,S2a,ASR chaperone-like; ROS scavenging; ABA-associated,S3a,ABA/ROS homeostasis pathway,S4a,ASR homologs in cereals modulate salt/drought via ROS and chaperone activity,S5a,Rice OE and RNAi lines show altered survival under 120–140 mM NaCl; interacts with OsSKL2; ROS lowering,Yes,Yes
OS01G0970600,OsRH58 (DEAD-box RNA helicase),S1b,S2b,Chloroplast RNA helicase; evidence mainly in Arabidopsis for salt tolerance,S3b,No direct rice pathway evidence linking to salt,S4a,"Orthologous DEAD-box helicases (e.g., OsSUV3) affect salt tolerance in rice; conserved chloroplast translation role",S5b,No rice in planta causal manipulation for salt; heterologous Arabidopsis OE only,No,No
OS01G0971100,OsDi19-5 (DI19 family),S1b,S2b,DI19 TFs stress-inducible; limited direct evidence for OsDi19-5 in salt in rice,S3b,No KEGG core salt pathway assignment,S4a,Arabidopsis/Rice DI19 family members implicated in abiotic stress; conservation suggests potential,S5a,definitive rice knockout/overexpression salt phenotype for OsDi19-5,Yes,Yes
OS02G0100300,OsHSP40 (OsDNAJ15),S1b,S2a,Hsp40/DNAJ chaperone activates OsHKT1;5 via OsBAG4–OsMYB106 complex,S3a,Na+ homeostasis via HKT1;5 (transport) pathway,S4a,Hsp40–Hsp70 chaperone module conserved across plants for stress responses,S5a,osdnaj15 loss-of-function → salt-sensitive; OE → salt-tolerant; activates OsHKT1;5,Yes,No
OS02G0148100,OsMAPK14 / OsMPK14 / OsMAPK33,S1b,S2b,Specific MPK14 role in salt unclear; mixed/seed-related roles reported for related MAPKs,S3b,"MAPK cascades in salt signaling exist, but no direct rice genetic salt evidence for MPK14",S4a,"MAPK family members (e.g., MPK3/6) positively regulate salt tolerance in rice",S5a,No rice study showing MPK14 causal manipulation alters salt phenotype,Yes,Yes
OS02G0266800,RISBZ3 / OsbZIP20,S1b,S2b,Seed storage protein bZIP; not a core salt module,S3b,No salt-related pathway annotation,S4b,No high-confidence ortholog evidence linking RISBZ3 to salt tolerance,S5b,No rice causal salt phenotype reports for RISBZ3,No,No
OS02G0276500,OsVTE1 (Tocopherol cyclase),S1b,S2a,Vitamin E (tocopherol) biosynthesis; ROS scavenging central to salt tolerance,S3a,Vitamin E biosynthesis/antioxidant detoxification influencing salt response,S4a,VTE1 orthologs across plants link vitamin E to stress tolerance,S5a,Rice OE increases salt tolerance; RNAi increases sensitivity; ROS lowered,Yes,Yes
OS02G0281000,OsPKG / OsPP23,S1b,S2a,cGMP-dependent protein kinase with dual kinase/phosphatase activity; mediates salt and GA signaling,S3a,cGMP signaling/GA pathway nodes impacting salt response,S4a,PKG-like signaling conserved; interaction partners point to conserved hormone signaling,S5a,Plant Cell 2019: rice PKG roles in salt stress; mechanistic targets (GAMYB),No,No
OS02G0465900,OsARP / OsCTP,S1b,S2b,"Proposed vacuolar Na+ sequestration regulator, but in-rice causal data lacking",S3b,No direct KEGG/Plant Reactome salt pathway evidence in rice,S4b,No validated ortholog evidence affecting salt tolerance,S5b,Heterologous tobacco OE improves salt tolerance; no rice causal evidence,No,No
OS02G0526400,OsClpD1/ERD1,S1b,S2b,Chloroplast ClpD/ERD1 chaperone; dehydration/oxidative response,S3b,Protein quality control,S4b,Arabidopsis ERD1/ClpD implicated in dehydration; salt causality in rice not shown,S5b,Rice in planta causal salt phenotype not found; only heterologous Arabidopsis OE shows salt tolerance,No,No
OS02G0527100,OsCHR710 (Snf2),S1b,S2b,Chromatin remodeler; salt-induced expression (family-level),S3b,Epigenetic regulation,S4b,No high-confidence ortholog with causal salt phenotype for CHR710; related CHR726 shows salt phenotype but is paralog,S5b,No KO/OE/complementation in rice showing direct salt phenotype for CHR710,No,No
OS02G0542400,OsGTγ-1 (Trihelix),S1b,S2b,Trihelix TF; regulates ion-transport genes; stress-inducible,S3b,Transcriptional regulation (non-core),S4b,No cross-species one-to-one ortholog causal salt evidence,S5a,Rice OE enhances salt tolerance; mutant osgtγ-1 is salt-sensitive; RAP-DB annotates salt tolerance,Yes,No
OS02G0564100,OsAL2 (Alfin-like 2),S1b,S2b,PHD/Alfin-like TF; stress-related,S3b,Transcriptional/epigenetic regulation,S4b,Cross-species AL evidences exist but not high-confidence ortholog in rice,S5b,No rice in planta causality for OsAL2 altering salt tolerance,No,No
OS02G0579600,OsMADS27,S1b,S2a,Nitrate-dependent salt tolerance; root system regulation,S3a,Nitrate signaling → salt tolerance,S4b,No strict ortholog causal salt evidence required,S5a,Genetic studies show OsMADS27 mediates nitrate-dependent salt tolerance and root adaptation,Yes,Yes
OS02G0592300,OsPMS1 (MMR),S1b,S2b,Mismatch repair protein; salt negative regulator,S3b,DNA repair; stress signaling cross-talk,S4b,No cross-species ortholog causality for salt,S5a,ospms1 mutants show enhanced salt tolerance; mechanistic/physiology and transcriptome support,Yes,Yes
OS02G0594700,OsBTBN3 (BTB/NPH3),S1b,S2b,BTB-type E3 adaptor; salt-induced expression,S3b,Ubiquitin-mediated regulation,S4b,Only OsBTBZ1 heterologous Arabidopsis data; no ortholog-based causality for BTBN3,S5b,No rice in planta causal salt phenotype for OsBTBN3,No,No
OS02G0601300,OsGAPC3 (cytosolic GAPDH),S1b,S2b,ROS detox/homeostasis; glycolytic enzyme multifunction,S3b,Redox metabolism,S4b,Orthologs reported in other species but rice causality is gene-specific,S5a,Rice OE of OsGAPC3 confers salt tolerance and modulates H2O2,Yes,Yes
OS02G0610600,OsRSZ23 (SR splicing factor),S1b,S2b,SR/RSZ splicing factor; stress-responsive AS,S3b,mRNA splicing pathway,S4b,No high-confidence ortholog with causal salt phenotype,S5b,No rice KO/OE causality for RSZ23 under salt; only reviews/AS evidence,No,No
OS02G0655200,OsERF95/OsSta2,S1b,S2a,AP2/ERF positive regulator; ABA/ethylene link; higher yield and salt tolerance when OE,S3a,ABA/ethylene transcriptional signaling,S4b,ERF family conserved; ortholog-specific salt causality not required,S5a,Ectopic/overexpression in rice enhances salt and osmotic stress tolerance with agronomic improvements,Yes,Yes
OS02G0666200,,S1b,S2a,膜水通道蛋白; 提高水力传导; 影响Na+积累,S3a,跨膜水运输/渗透调节→耐盐,S4a,多作物PIP家族过表达提高耐盐/渗透耐受，机制保守,S5a,稻本体过表达适度提高耐盐与导水率；敲除导致Na+积累↑和盐敏,Yes,Yes
OS02G0669100,,S1b,S2a,去水蛋白/LEA; ROS清除; 蛋白质保护,S3a,ABA/ROS稳态与渗透保护,S4a,多物种去水蛋白正向调控耐盐；保守作用,S5a,稻本体过表达提高耐盐；存活率、Fv/Fm等指标改善,Yes,Yes
